model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
370Z,2015,332.0,6.0,0,2.0,25,18,2009,49400,0,0,0,0,0,41845.56,508151,7554.44
370Z,2015,350.0,6.0,0,2.0,26,18,2009,45490,0,0,1,0,1,38493.73,447072,6996.27
612 Scaglietti,2009,532.0,12.0,0,2.0,16,9,2774,313088,1,0,2,1,1,237528.69,505,75559.31
626,2001,125.0,4.0,1,4.0,25,19,586,20935,2,1,0,2,2,18988.45,810228,1946.55
Accord,2015,185.0,4.0,1,4.0,36,27,2202,30195,3,1,0,2,2,27461.73,719886,2733.27
Beetle Convertible,2015,210.0,4.0,1,2.0,29,23,873,31995,4,2,2,0,0,29617.64,701633,2377.36
C/K 1500 Series,1997,200.0,6.0,0,2.0,20,15,1385,2529,5,1,1,1,3,2254.92,733806,274.08
C/K 1500 Series,1998,200.0,6.0,2,2.0,19,14,1385,3265,5,1,1,1,4,3014.82,778281,250.18
Crossfire,2007,215.0,6.0,0,2.0,23,15,1013,29510,6,0,1,0,5,26019.87,785714,3490.13
Dakota,2010,210.0,6.0,2,4.0,18,14,1851,27880,7,1,0,0,4,24778.17,728338,3101.83
E-Series Wagon,2013,255.0,8.0,0,3.0,15,11,5657,36545,8,3,0,2,6,33291.18,706997,3253.82
A4,2016,220.0,4.0,1,4.0,31,22,3105,35900,9,0,0,2,2,31761.86,875281,4138.14
Aspire,1997,63.0,4.0,1,4.0,38,29,5657,2000,8,1,1,0,7,1784.48,801538,215.52
350Z,2008,306.0,6.0,0,2.0,24,17,2009,36280,0,1,1,0,0,33599.36,826221,2680.64
